FASTA filename	Sequence record ID	Length (aa)	Patent / family	Applicant / assignee	Protein / construct	Product / intended use	Potential application	Market authorization / regulatory status (checked 2026-08-05)	Safety and functional testing summary	Highest evidence level	FASTA availability / download	PDB/CIF accession	Patent source URL	Regulatory / external evidence URL	Confidence and limitations
YUSONG_SF10_SEQID2_38aa.fasta	YUSONG_SF10_SEQID2_38aa	38	CN121108286A	Shanghai Yusong Biotechnology Co., Ltd.	Short recombinant silk fibroin-derived proteins SF-4/SF-10	Cosmetic ingredients or skin-care formulation candidates.	Patent-proposed topical cosmetics: anti-aging/anti-wrinkle, skin-repair products including acne-scar, sunburn or post-procedure repair, and anti-inflammatory/sensitive-skin products; also wound-healing and tissue-repair materials.	Published patent application; no regulatory identifier explicitly corresponding to the two sequences was verified. Cosmetic filing is not drug/device approval.	Patent-reported cell and skin-function experiments; no strong evidence of load-bearing silk material formation.	E2	Yes; fasta_downloads/YUSONG_SF10_SEQID2_38aa.fasta	No public PDB/CIF entry found for exact SF-4/SF-10 constructs	https://patents.google.com/patent/CN121108286A/en		Medium
BOLT_18B_repeat_SEQID2_315aa.fasta	BOLT_18B_repeat_SEQID2_315aa	315	US20240050352A1	Bolt Threads, Inc.	Recombinant spider-silk protein 18B	Personal-care powders and film-forming/barrier skin-care formulations.	Patent-proposed/formulated: powder or gel cleanser/exfoliant, mattifying or detoxifying powder, topical cream/emulsion, color-cosmetic pigment carrier, and film-forming protective skin barrier or anti-aging cream.	Published patent application; no drug/device approval identifier verified. Ordinary US cosmetics generally do not receive FDA premarket approval.	Film formation, microscopy, barrier/mechanical testing, and a small human cosmetic-use study. Patent evidence, not a registration-grade controlled clinical trial.	E4	Yes; fasta_downloads/BOLT_18B_repeat_SEQID2_315aa.fasta	No public PDB/CIF entry found for the exact 18B construct	https://patents.google.com/patent/US20240050352A1/en	https://www.fda.gov/cosmetics/cosmetics-labeling/cosmetics-labeling-claims	High for patent evidence and regulatory framework
BOLT_18B_SEQID1_945aa.fasta	BOLT_18B_SEQID1_945aa	945	US20240050352A1	Bolt Threads, Inc.	Recombinant spider-silk protein 18B	Personal-care powders and film-forming/barrier skin-care formulations.	Patent-proposed/formulated: powder or gel cleanser/exfoliant, mattifying or detoxifying powder, topical cream/emulsion, color-cosmetic pigment carrier, and film-forming protective skin barrier or anti-aging cream.	Published patent application; no drug/device approval identifier verified. Ordinary US cosmetics generally do not receive FDA premarket approval.	Film formation, microscopy, barrier/mechanical testing, and a small human cosmetic-use study. Patent evidence, not a registration-grade controlled clinical trial.	E4	Yes; fasta_downloads/BOLT_18B_SEQID1_945aa.fasta	No public PDB/CIF entry found for the exact 18B construct	https://patents.google.com/patent/US20240050352A1/en	https://www.fda.gov/cosmetics/cosmetics-labeling/cosmetics-labeling-claims	High for patent evidence and regulatory framework
eADF4_C16_repeat_unit_35aa.fasta	eADF4_C16_repeat_unit_35aa	35	WO2006008163A2 / US7951908B2; use: WO2020214854A1	AMSilk / Evolved By Nature-related entities	Engineered spider-silk protein eADF4(C16)	Engineered silk material later used in hair-care and cosmetic formulations.	Platform-level/related silk-composition applications: shampoo, conditioner, leave-on hair treatment, styling gel/spray/foam, hair oil/cream/tonic, frizz-control and cuticle-coating products; exact eADF4(C16)-to-finished-product mapping is not established.	No drug/device approval identifier verified. Ordinary cosmetics generally do not receive FDA premarket approval.	Salt/pH-triggered fibrillation, self-assembly, film formation, and hair-tress/material tests; primarily cell-free or ex vivo evidence.	E1	Yes; fasta_downloads/eADF4_C16_repeat_unit_35aa.fasta	No experimental PDB/CIF entry found for the complete 560-aa C16 construct	https://patents.google.com/patent/US7951908B2/en	https://www.fda.gov/industry/fda-basics-industry/does-fda-approve-cosmetics-they-go-market	High
eADF4_C16_560aa.fasta	eADF4_C16_560aa	560	WO2006008163A2 / US7951908B2; use: WO2020214854A1	AMSilk / Evolved By Nature-related entities	Engineered spider-silk protein eADF4(C16)	Engineered silk material later used in hair-care and cosmetic formulations.	Platform-level/related silk-composition applications: shampoo, conditioner, leave-on hair treatment, styling gel/spray/foam, hair oil/cream/tonic, frizz-control and cuticle-coating products; exact eADF4(C16)-to-finished-product mapping is not established.	No drug/device approval identifier verified. Ordinary cosmetics generally do not receive FDA premarket approval.	Salt/pH-triggered fibrillation, self-assembly, film formation, and hair-tress/material tests; primarily cell-free or ex vivo evidence.	E1	Yes; fasta_downloads/eADF4_C16_560aa.fasta	No experimental PDB/CIF entry found for the complete 560-aa C16 construct	https://patents.google.com/patent/US7951908B2/en	https://www.fda.gov/industry/fda-basics-industry/does-fda-approve-cosmetics-they-go-market	High
FHLC_SEQ_ID_NO_1.fasta	FHLC_SEQ_ID_NO_1	1071	CN1371919A / CN1196712C / WO2003106494A1; use CN102351954A/B	Shaanxi Giant Biogene Technology Co., Ltd.-related platform	Human-like collagen FHLC, 1071 aa	Recombinant collagen skin-repair products including Comfy/CofeMe human-like collagen dressings.	Marketed platform-level: recombinant collagen medical dressing/mask, liquid dressing and post-procedure or skin-repair products; topical single-use repair essence/serum. Exact 1071-aa FHLC sequence-to-current-product mapping is unconfirmed.	Yes for related platform products: a Class II dressing was registered in 2011; public current example 20152140026. Exact identity between the 1071-aa sequence and each current commercial batch requires manufacturer confirmation.	Patent expression/purification, material/cell studies, wound-repair uses, and regulated human use of related Class II devices.	E5	Yes; fasta_downloads/FHLC_SEQ_ID_NO_1.fasta	No public PDB/CIF entry found for the exact 1071-aa FHLC construct	https://patents.google.com/patent/CN1371919A/en	https://www.xajuzi.com/cover-h6rv6dj1/kfm?lang=zh-hk	High for platform commercialization; medium for sequence-to-product mapping
Not obtained (patent sequence listing not safely transcribed)			CN114805551A/B / WO2024002149	Bloomage Biotechnology (Tianjin) Co., Ltd. and affiliates	Recombinant human type III collagen fragment combinations COL1/COL2/COL3	Proposed for cosmetics, medical materials, and repair materials. No public medical-device identifier was found that could be mapped unambiguously to SEQ ID NOs 1-3.	Patent-proposed: cosmetic ingredient/formulation; also food, nutraceutical and pharmaceutical products. No sequence-specific serum, mask, injectable or dressing format was disclosed for COL1/COL2/COL3.	No corresponding authorization identifier verified for these patent constructs. Cosmetic marketing is not equivalent to drug or device approval.	Pichia expression, SDS-PAGE/protein quantification, and construct comparisons. Public evidence was insufficient to establish a native triple helix or controlled human safety.	E1	No; see the sequence-gap explanation	No public PDB/CIF entry found for the exact patent constructs	https://patents.google.com/patent/CN114805551B/en		Medium
Not obtained (patent sequence listing not safely transcribed)			CN116574172A/B	Guangzhou Jinan University Medical Biotechnology R&D Center Co., Ltd.	Recombinant human type I collagen-derived protein	Proposed collagen material for cosmetic or medical applications. No product identifier explicitly mapped to the patent sequences was verified.	Patent-proposed: active raw material for wound-repair medicines and topical cosmetics supporting skin repair, cell adhesion and migration; no verified sequence-specific finished product.	No corresponding authorization identifier verified.	Expression and purification plus low-temperature insolubility/fiber formation and room-temperature redissolution. These observations do not establish native type I collagen fibrils.	E1	No; see the sequence-gap explanation	No public PDB/CIF entry found for the exact patent construct	https://patents.google.com/patent/CN116574172B/en		Medium
Not obtained (patent sequence listing not safely transcribed)			CN116640231A/B	Guangzhou Jinan University Medical Biotechnology R&D Center Co., Ltd.	Recombinant COL17A1 intracellular-domain protein	Research/material candidate; not a collagen triple-helix scaffold.	Patent-proposed research/functional raw material for anti-aging and anti-hair-loss/scalp-care products, with possible skin-repair or sebum-support applications; no finished-product format or authorization verified.	No corresponding authorization identifier verified.	E. coli expression, vector construction, and purification; no verified animal or human functional study.	E1	No; see the sequence-gap explanation	No public PDB/CIF entry found for the exact patent construct	https://patents.google.com/patent/CN116640231B/en		Medium
Not obtained (patent sequence listing not safely transcribed)			US5593859A	Thomas Jefferson University; Academy of Finland; FibroGen, Inc.	Full-length human collagen I/II/III co-expressed with prolyl 4-hydroxylase	Native-like recombinant collagen production platform/research material, not one authorized finished product.	Platform application: native-like recombinant collagen raw material for implantable and tissue-engineering biomaterials; documented downstream use includes a biosynthetic corneal implant scaffold (FG-5200). Historical dermal-filler development was platform-level, not an authorized product tied to one listed sequence.	No finished-product identifier directly corresponding to this patent was verified. Patent expiration does not constitute product approval.	Sf9/yeast expression, P4H co-expression, hydroxyproline assessment, and thermal/triple-helix biochemical characterization.	E1	No; see the sequence-gap explanation	Natural human COL1A1/COL1A2/COL2A1/COL3A1 sequences are public; the patent products do not have one unique construct PDB	https://patents.google.com/patent/US5593859A/en		High
Not obtained (patent sequence listing not safely transcribed)			CN117683116B	Best Beauty Biotechnology (Zhejiang) Co., Ltd.	Recombinant human elastin-derived protein	Candidate elastin cosmetic or biomaterial ingredient.	Patent-proposed topical anti-wrinkle/firming skincare ingredient for essence/serum, lotion/emulsion, toner, cream and facial mask.	Patent granted; no authorization identifier corresponding to the exact construct was verified.	Expression/purification and in vitro physicochemical or cellular efficacy testing; no verified controlled clinical or post-market safety dataset.	E2	No; see the sequence-gap explanation	No public PDB/CIF entry found for the exact patent construct	https://patents.google.com/patent/CN117683116B/en		Medium
Not obtained (patent sequence listing not safely transcribed)			US20250257107A1	Geltor, Inc.	Recombinant keratin and keratin-fusion proteins	Hair-care, film-forming, and conditioning personal-care ingredients.	Patent-proposed personal-care ingredient for shampoo/conditioner or leave-on hair treatment, frizz-control, shine and repair products, heat/chemical-damage protection, scalp care, and skin/nail formulations.	Published pending application; no drug/device approval identifier verified. Ordinary cosmetics do not receive FDA premarket approval.	Hair-tress binding and film/conditioning tests. Many constructs are disclosed and must be checked individually by SEQ ID.	E1	No; see the sequence-gap explanation	No public PDB/CIF entry found for the specific patent fusion constructs	https://patents.google.com/patent/US20250257107A1/en	https://www.fda.gov/cosmetics/cosmetics-labeling/cosmetics-labeling-claims	Medium
Not obtained (polydisperse mixture; no single sequence)			US9517191B2 / WO2020214854A1	Evolved By Nature-related entities	Stable silk-protein fragment mixture	Hair- and skin-care silk-protein mixture.	Patent-proposed hair-care ingredient for shampoo, conditioner, rinse-off or leave-on treatment, styling products, frizz control, cuticle coating, shine and color protection; may also serve as a topical skin/hair film-former.	No drug/device approval identifier verified; ordinary cosmetics do not receive FDA premarket approval.	Molecular-weight distribution, formulation, and hair/material testing; not a single construct.	E1	No; see the sequence-gap explanation	Not applicable	https://patents.google.com/patent/US9517191B2/en	https://www.fda.gov/cosmetics/cosmetics-labeling/cosmetics-labeling-claims	High
Not obtained (no product-specific single sequence)			WO2010001417A2/A3	BIOEFFECT-related entities	Plant-expressed growth factors or mixtures	Plant-derived growth-factor skin-care products.	Marketed topical skincare: EGF facial serum, eye serum and body serum/lotion for hydration and the appearance of firmness, fine lines/wrinkles and puffiness.	Commercial cosmetic products exist, but no drug/device approval identifier was verified.	Expression/purification and cell-function evidence; no unique commercial construct disclosed.	E2	No; see the sequence-gap explanation	Natural growth-factor structures exist but do not represent the commercial mixture	https://patents.google.com/patent/WO2010001417A2/en	https://www.fda.gov/industry/fda-basics-industry/does-fda-approve-cosmetics-before-they-go-market	Medium
Not obtained (conditioned-medium/secretome mixture)			US8518879B2 / WO2012121695A1	SkinMedica-related entities	Fibroblast-conditioned medium / secretome	TNS-type skin-care products.	Marketed topical growth-factor/secretome facial serum, including TNS Advanced+ Serum and related TNS products, targeting visible sagging, coarse/fine lines, wrinkles, tone and texture; not a single defined recombinant protein.	Commercial cosmetics; no drug/device approval identifier verified.	Cell culture, secreted-factor characterization, and human cosmetic-use studies; effects cannot be attributed to one protein.	E4	No; see the sequence-gap explanation	Not applicable	https://patents.google.com/patent/US8518879B2/en	https://www.fda.gov/cosmetics/cosmetics-labeling/cosmetics-labeling-claims	Medium
Not obtained (animal-derived collagen mixture; not a recombinant patent construct)			Regulatory comparator: Bellafill, P020012	Tiger Aesthetics Medical / formerly Suneva	Bovine collagen carrier plus PMMA microspheres	Bellafill dermal filler.	Marketed injectable dermal filler for nasolabial folds and moderate-to-severe atrophic, distensible cheek acne scars.	Yes: FDA PMA P020012; acne-scar indication supplement P020012/S009.	Physicochemical, biocompatibility, animal, clinical, and post-market surveillance evidence; granuloma is a known reported risk.	E5	Natural bovine COL1 sequences exist but are not equivalent to the finished product	No single finished-product PDB	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?PMANumber=P020012&SupplementNumber=&start_search=1	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=350569	High
Not distributed (high-risk regulated neurotoxin)			Regulatory comparator: BOTOX Cosmetic BL 103000/5000	AbbVie / Allergan	OnabotulinumtoxinA complex formulation	BOTOX Cosmetic lyophilized injectable product.	Marketed prescription intramuscular aesthetic injection for temporary improvement of frown lines, crow's-feet lines, forehead lines and platysma bands; regulatory comparator only.	Yes: FDA biologics-license supplement BL 103000/5000, with later indication and labeling updates.	Potency, toxicology, animal studies, controlled trials, regulatory review, and pharmacovigilance; labeling carries a boxed warning for distant spread of toxin effect.	E5	A public sequence exists, but it is intentionally not distributed in this package	Many toxin structures exist; none is designated here as the complete commercial complex formulation	https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/botuall041202L.htm	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/103000s5316s5319s5323s5326s5331lbl.pdf	High
